Date,Forex_cny(100millUSD),,Foex Reserves China,,Date,Forex_INR(mill USD),,Forex Reserves India
,,,,,05-May-2023,595976,,
,,,,,28-Apr-2023,588780,,
,,,,,21-Apr-2023,584248,,
,,,,,14-Apr-2023,586412,,
,,,,,07-Apr-2023,584755,,
,,,,,24-Mar-2023,578778,,
,,,,,17-Mar-2023,572801,,
,,,,,10-Mar-2023,560003,,
,,,,,03-Mar-2023,562400,,
,,,,,24-Feb-2023,560942,,
,,,,,17-Feb-2023,561267,,
,,,,,10-Feb-2023,566948,,
,,,,,03-Feb-2023,575267,,
,,,,,27-Jan-2023,576761,,
,,,,,20-Jan-2023,573727,,
,,,,,13-Jan-2023,572000,,
,,,,,06-Jan-2023,561583,,
,,,,,30-Dec-2022,562851,,
,,,,,23-Dec-2022,562808,,
,,,,,16-Dec-2022,563499,,
,,,,,09-Dec-2022,564070,,
,,,,,02-Dec-2022,561162,,
,,,,,25-Nov-2022,550142,,
,,,,,18-Nov-2022,547252,,
,,,,,11-Nov-2022,544715,,
,,,,,04-Nov-2022,529994,,
,,,,,28-Oct-2022,531081,,
,,,,,21-Oct-2022,524520,,
,,,,,14-Oct-2022,528367,,
,,,,,07-Oct-2022,532868,,
,,,,,30-Sep-2022,532664,,
,,,,,23-Sep-2022,537518,,
,,,,,16-Sep-2022,545652,,
,,,,,09-Sep-2022,550871,,
,,,,,02-Sep-2022,553105,,
,,,,,26-Aug-2022,561046,,
,,,,,19-Aug-2022,564053,,
,,,,,12-Aug-2022,570740,,
,,,,,05-Aug-2022,572978,,
